iter	Passed	Remaining
505	566	552
506	570	554
507	571	553
508	573	552
509	575	552
510	576	551
511	577	550
512	578	548
513	579	547
514	580	546
515	580	544
516	581	543
517	582	541
518	582	540
519	583	538
520	584	537
521	585	535
522	585	534
523	586	532
524	587	531
525	588	530
526	589	529
527	590	527
528	591	526
529	591	524
530	592	523
531	593	521
532	593	520
533	594	519
534	595	517
535	596	516
536	597	515
537	598	513
538	598	512
539	599	510
540	600	509
541	601	507
542	602	506
543	602	505
544	603	503
545	603	502
546	604	500
547	605	499
548	606	497
549	606	496
550	607	494
551	608	493
552	608	492
553	609	490
554	610	489
555	610	487
556	611	486
557	612	484
558	612	483
559	613	481
560	614	480
561	615	479
562	616	478
563	617	476
564	617	475
565	618	474
566	619	472
567	619	471
568	620	470
569	621	468
570	622	467
571	622	466
572	623	464
573	624	463
574	625	462
575	626	460
576	627	459
577	627	458
578	628	457
579	629	456
580	630	454
581	631	453
582	631	451
583	632	450
584	633	449
585	634	448
586	635	446
587	635	445
588	636	444
589	637	442
590	637	441
591	638	440
592	639	439
593	640	437
594	641	436
595	642	435
596	642	433
597	643	432
598	644	431
599	645	430
600	646	429
601	647	427
602	647	426
603	648	425
604	649	424
605	650	422
606	651	421
607	652	420
608	652	419
609	653	417
610	654	416
611	655	415
612	656	414
613	656	412
614	657	411
615	658	410
616	658	408
617	659	407
618	660	406
619	660	404
620	661	403
621	661	402
622	662	400
623	663	399
624	664	398
625	665	397
626	666	396
627	667	395
628	668	394
629	668	392
630	670	391
631	670	390
632	671	389
633	671	387
634	672	386
635	673	385
636	674	384
637	675	383
638	675	381
639	676	380
640	677	379
641	678	378
642	679	377
643	679	375
644	680	374
645	681	373
646	682	372
647	683	371
648	683	369
649	684	368
650	685	367
651	686	366
652	686	364
653	687	363
654	688	362
655	688	361
656	689	360
657	690	359
658	691	357
659	692	356
660	693	355
661	694	354
662	694	353
663	695	351
664	696	350
665	696	349
666	697	348
667	698	347
668	698	345
669	699	344
670	700	343
671	701	342
672	701	340
673	702	339
674	703	338
675	704	337
676	704	336
677	705	335
678	706	334
679	707	333
680	708	331
681	709	330
682	710	329
683	711	328
684	712	327
685	712	326
686	713	325
687	715	324
688	716	323
689	717	322
690	717	321
691	718	319
692	719	318
693	719	317
694	720	316
695	721	315
696	722	313
697	722	312
698	723	311
699	724	310
700	725	309
701	726	308
702	727	307
703	728	306
704	729	305
705	730	304
706	731	303
707	731	301
708	732	300
709	733	299
710	734	298
711	734	297
712	735	296
713	736	295
714	737	293
715	738	292
716	739	291
717	740	290
718	740	289
719	742	288
720	743	287
721	743	286
722	744	285
723	744	283
724	745	282
725	746	281
726	746	280
727	747	279
728	747	277
729	748	276
730	749	275
731	750	274
732	751	273
733	752	272
734	753	271
735	753	270
736	754	269
737	755	268
738	756	267
739	756	265
740	757	264
741	758	263
742	759	262
743	760	261
744	761	260
745	761	259
746	762	258
747	763	257
748	763	256
749	764	254
750	765	253
751	766	252
752	766	251
753	767	250
754	768	249
755	769	248
756	770	247
757	771	246
758	772	245
759	772	243
760	773	242
761	774	241
762	774	240
763	775	239
764	776	238
765	776	237
766	777	236
767	778	235
768	778	233
769	779	232
770	780	231
771	781	230
772	781	229
773	782	228
774	783	227
775	783	226
776	784	225
777	785	224
778	785	222
779	786	221
780	787	220
781	788	219
782	788	218
783	789	217
784	790	216
785	791	215
786	792	214
787	793	213
788	793	212
789	794	211
790	795	210
791	796	209
792	799	208
793	807	209
794	809	208
795	811	207
796	814	207
797	815	206
798	816	205
799	816	204
800	818	203
801	824	203
802	826	202
803	827	201
804	828	200
805	834	200
806	836	200
807	837	199
808	838	197
809	845	198
810	846	197
811	847	196
812	848	195
813	853	195
814	856	194
815	860	194
816	863	193
817	868	193
818	869	192
819	870	191
820	877	191
821	881	190
822	884	190
823	884	188
824	891	189
825	894	188
826	895	187
827	902	187
828	904	186
829	909	186
830	911	185
831	916	185
832	918	184
833	920	183
834	923	182
835	927	181
836	932	181
837	938	181
838	938	180
839	947	180
840	948	179
841	951	178
842	951	177
843	952	176
844	953	174
845	954	173
846	955	172
847	956	171
848	956	170
849	957	168
850	957	167
851	958	166
852	959	165
853	960	164
854	960	162
855	961	161
856	962	160
857	963	159
858	963	158
859	964	157
860	965	155
861	965	154
862	966	153
863	967	152
864	967	151
865	968	149
866	969	148
867	970	147
868	971	146
869	972	145
870	973	144
871	973	142
872	974	141
873	975	140
874	976	139
875	977	138
876	978	137
877	978	136
878	979	134
879	980	133
880	981	132
881	981	131
882	982	130
883	983	129
884	984	127
885	985	126
886	986	125
887	987	124
888	987	123
889	988	122
890	989	121
891	990	119
892	991	118
893	991	117
894	992	116
895	993	115
896	993	114
897	994	112
898	995	111
899	996	110
900	996	109
901	997	108
902	998	107
903	999	106
904	1000	104
905	1000	103
906	1001	102
907	1002	101
908	1003	100
909	1003	99
910	1004	98
911	1006	97
912	1007	95
913	1007	94
914	1008	93
915	1009	92
916	1010	91
917	1010	90
918	1011	89
919	1012	88
920	1013	86
921	1013	85
922	1015	84
923	1015	83
924	1016	82
925	1017	81
926	1018	80
927	1019	79
928	1020	77
929	1020	76
930	1021	75
931	1022	74
932	1022	73
933	1024	72
934	1024	71
935	1025	70
936	1026	69
937	1027	67
938	1028	66
939	1029	65
940	1030	64
941	1030	63
942	1031	62
943	1032	61
944	1033	60
945	1033	59
946	1034	57
947	1035	56
948	1035	55
949	1036	54
950	1037	53
951	1037	52
952	1038	51
953	1039	50
954	1040	49
955	1041	47
956	1041	46
957	1042	45
958	1043	44
959	1043	43
960	1044	42
961	1045	41
962	1046	40
963	1047	39
964	1048	38
965	1048	36
966	1049	35
967	1050	34
968	1051	33
969	1051	32
970	1053	31
971	1053	30
972	1054	29
973	1055	28
974	1056	27
975	1056	25
976	1057	24
977	1057	23
978	1058	22
979	1059	21
980	1059	20
981	1060	19
982	1061	18
983	1063	17
984	1063	16
985	1064	15
986	1064	14
987	1065	12
988	1066	11
989	1067	10
990	1067	9
991	1068	8
992	1069	7
993	1071	6
994	1072	5
995	1077	4
996	1078	3
997	1080	2
998	1083	1
999	1084	0
